ndvi,RegionID
6639.638672,1
5449.56543,1
6647.970703,1
7305.709473,1
7712.317383,1
6836.475586,1
6004.23877,1
6823.870605,1
7641.673828,1
7362.844238,1
7640.508789,1
7788.239258,1
7676.456055,1
6928.013672,1
5964.086426,1
7260.703613,1
7971.48584,1
7891.223633,1
7770.552734,1
7867.129883,1
7314.17334,1
6388.780762,1
5560.29834,1
6654.064453,1
7561.096191,1
7525.606445,1
7757.473633,1
7331.486328,1
7222.720703,1
6359.010254,1
5988.259277,1
6620.453125,1
7336.266113,1
7469.682617,1
7380.020508,1
6548.477051,1
6644.664551,1
6278.131836,1
6584.898438,1
6621.47998,1
6438.925781,1
6200.513672,1
6569.383789,1
6219.484375,1
5103.706055,1
6185.143066,2
6228.572266,2
5911.029785,2
5438.098633,2
6013.57373,2
5369.143066,2
6290.19873,2
5887.510742,2
4585.863281,2
7593.950195,1
7744.5,1
7265.359375,1
6024.15332,2
5693.893066,2
4624.791504,2
7375.983398,1
7307.466797,1
7561.337891,1
7516.456055,1
4988.510742,2
5130.583496,2
5309.005859,2
6031.490723,2
6000.736816,2
6173.306641,2
6138.02002,2
5442.959961,2
5519.130859,2
5989.935059,2
5690.553711,2
7318.322754,1
7058.42334,1
6854.853027,1
7501.681152,1
7249.416992,1
7300.696289,1
7385.669922,1
7243.284668,2
7284.513184,2
7288.683105,2
7185.516113,2
6659.441406,2
5155.666504,2
5766.42334,2
5997.780762,2
5935.283203,2
6198.169922,2
6575.352539,2
6549.549805,2
6207.189941,2
6577.856934,2
5987.149902,2
6602.896484,2
6956.643066,2
6694.873047,2
5775.340332,2
6364.848145,2
6807.541992,1
6404.276367,1
6565.566895,1
6982.40332,1
7228.660156,1
7333.496094,1
7261.745117,1
6891.672363,2
6417.503418,2
6788.416992,2
6621.080078,2
6096.740234,2
6860.970215,2
7029.146973,2
6184.370117,2
6305.400391,2
6440.90332,2
6687.993652,2
6701.529785,2
6892.133301,2
6821.366211,2
6604.450195,2
6968.207031,2
6829.850098,2
6961.432617,2
7281.366211,2
6930.24707,2
6615.863281,2
6904.779785,2
6542.576172,2
6450.406738,2
5889.246094,2
5347.404785,2
4050.078613,2
7320.662109,1
6902.514648,1
6601.016113,1
6664.44043,1
6865.433105,1
7054.709961,1
6930.474609,1
7149.22998,1
7362.236816,1
7407.727051,1
7236.288574,1
6612.943848,2
6798.937012,2
6103.883301,2
5978.92627,2
6172.646973,2
6517.9375,2
6700.280762,2
6665.466797,2
6338.503906,2
6198.573242,2
6423.15918,2
6793.13623,2
7031.42334,2
6544.140137,2
